sample	GM3_reach	GM2_reach	GM1_reach	GD3_reach
GTEX-111FC-2026-SM-5GZYO	-0.722945998202759	-0.722945998202759	-0.722945998202759	-0.722945998202759
GTEX-111FC-2526-SM-5GZXU	-0.805927916545938	-0.805927916545938	-0.805927916545938	-0.805927916545938
GTEX-111FC-2926-SM-5GZY7	-0.0162013939340499	-0.203356304538733	-0.203356304538733	-0.216092045327551
GTEX-111FC-3126-SM-5GZZ2	-0.981904035295276	-0.981904035295276	-0.981904035295276	-0.981904035295276
GTEX-111FC-3326-SM-5GZYV	-0.718867753412394	-0.718867753412394	-0.718867753412394	-0.718867753412394
GTEX-111VG-0008-SM-5Q5BG	-0.940979976586229	-0.980760753432649	-1.68487217738519	-1.17798766723588
GTEX-111VG-0326-SM-5GZX7	-1.73837520166444	-1.73837520166444	-1.73837520166444	-1.73837520166444
GTEX-111VG-0526-SM-5N9BW	-1.30344468771608	-1.30344468771608	-1.30344468771608	-1.30344468771608
GTEX-111VG-0726-SM-5GIDC	-0.401833759582162	-0.401833759582162	-0.401833759582162	-0.401833759582162
GTEX-111VG-1626-SM-5EGIO	-1.94951808486176	-1.94951808486176	-1.94951808486176	-1.94951808486176
GTEX-111VG-1926-SM-5GIDO	-1.39752888064452	-1.39752888064452	-1.39752888064452	-1.39752888064452
GTEX-111VG-2226-SM-5N9DU	-0.709885887809074	-0.709885887809074	-0.709885887809074	-0.709885887809074
GTEX-111VG-2326-SM-5N9BK	-0.176487681180199	-0.65579157220803	-0.65579157220803	-0.176487681180199
GTEX-111VG-2426-SM-5GZXD	-0.530810752233462	-0.845199784772263	-0.845199784772263	-0.530810752233462
GTEX-111VG-2526-SM-5GZXP	-0.41635925636258	-0.41635925636258	-0.41635925636258	-0.712935708045625
GTEX-111VG-2626-SM-5GZY2	-2.05210084174796	-2.05210084174796	-2.05210084174796	-2.05210084174796
GTEX-111YS-0006-SM-5NQBE	-2.20763168429061	-2.83243796948033	-2.83243796948033	-2.20763168429061
GTEX-111YS-0008-SM-5Q5BH	-0.165063754731246	-1.16407739962956	-2.20088450516825	-1.16238057949183
GTEX-111YS-0126-SM-5987T	-1.15781231617036	-1.15781231617036	-1.15781231617036	-1.15781231617036
GTEX-111YS-0326-SM-5GZZ3	-1.47370980975416	-1.47370980975416	-1.47370980975416	-1.47370980975416
GTEX-111YS-0426-SM-5987O	-2.37819746987675	-2.37819746987675	-2.37819746987675	-2.37819746987675
GTEX-111YS-0526-SM-5GZXJ	-0.831896858917786	-0.831896858917786	-0.831896858917786	-0.831896858917786
GTEX-111YS-0626-SM-5GZXV	-0.390608950890796	-0.706594153148382	-0.706594153148382	-0.541150718673605
GTEX-111YS-0726-SM-5GZY8	-0.596114285896447	-0.596114285896447	-0.596114285896447	-0.596114285896447
GTEX-111YS-0826-SM-5GZYK	-0.939331687151324	-0.939331687151324	-0.939331687151324	-0.939331687151324
GTEX-111YS-0926-SM-5EGGI	-1.52528399795409	-1.52528399795409	-1.52528399795409	-1.52528399795409
GTEX-111YS-1026-SM-5GZYE	-0.91712240963091	-0.91712240963091	-0.91712240963091	-0.91712240963091
GTEX-111YS-1126-SM-5GZYQ	-1.36901981711672	-1.36901981711672	-1.36901981711672	-1.36901981711672
GTEX-111YS-1226-SM-5EGGJ	-2.55733307544523	-2.55733307544523	-2.55733307544523	-2.55733307544523
GTEX-111YS-1326-SM-5EGGK	-1.08881115900075	-1.08881115900075	-1.08881115900075	-1.08881115900075
GTEX-111YS-1426-SM-5GID8	-1.74414110160413	-1.74414110160413	-1.74414110160413	-1.74414110160413
GTEX-111YS-1526-SM-5GZYW	-1.09626461078142	-1.09626461078142	-1.09626461078142	-1.09626461078142
