sample	sLeX_reachability
GTEX-11DZ1-0226-SM-5A5KF	-0.41795003118685
GTEX-11DZ1-0326-SM-5N9BN	-0.452247206618774
GTEX-11DZ1-0426-SM-5H11A	-0.308499845927893
GTEX-11DZ1-0926-SM-5EQ5R	-1.23018821242322
GTEX-11DZ1-2026-SM-5A5KG	-0.790300041836341
GTEX-11DZ1-2426-SM-5GZZX	-0.626798331005725
GTEX-11DZ1-2726-SM-5A5KH	-0.429952354013231
GTEX-11DZ1-2926-SM-5A5KI	-1.06681476574571
GTEX-11EI6-0005-SM-5N9GN	-1.31942934019435
GTEX-11EI6-0008-SM-5QGR7	-0.690565692744458
GTEX-11EI6-0011-R10a-SM-DO93R	-1.47855975033384
GTEX-11EI6-0011-R11a-SM-DO11V	-1.87334668266515
GTEX-11EI6-0011-R1a-SM-DO93L	-2.06782753038225
GTEX-11EI6-0011-R8a-SM-DO93M	-2.83088991386866
GTEX-11EI6-0126-SM-5985R	-0.888049936837402
GTEX-11EI6-0226-SM-5EQ64	-0.472238215046952
GTEX-11EI6-0326-SM-5EQ6G	-1.56096301736251
GTEX-11EI6-0426-SM-5EQ43	-0.472238215046952
GTEX-11EI6-0526-SM-5985S	-0.453226788750963
GTEX-11EI6-0626-SM-5985T	-0.106400464814619
GTEX-11EI6-0726-SM-59866	-0.322670954926928
GTEX-11EI6-0826-SM-5985V	-0.864645348170402
GTEX-11EI6-1526-SM-5P9GL	-1.49741539225719
GTEX-11EI6-2226-SM-5EGJM	-0.77732154585265
GTEX-11EI6-2426-SM-5PNVS	-1.00091724045155
GTEX-11EI6-2626-SM-5PNVT	-0.513617879226498
GTEX-11EI6-2826-SM-5H11D	-0.72677791747704
GTEX-11EI6-2926-SM-5985U	-1.70155389570472
GTEX-11EI6-3026-SM-5GZZO	-1.19776672943842
GTEX-11EI6-3126-SM-5H111	-1.12767610828624
GTEX-11EM3-0001-SM-5Q5BD	-1.22413113521461
GTEX-11EM3-0005-SM-5N9DK	-2.85454404552661
GTEX-11EM3-0126-SM-5985K	-0.453739703671966
GTEX-11EM3-0226-SM-5985Y	-0.826321374043109
GTEX-11EM3-0326-SM-5A5KJ	-0.981611725996423
GTEX-11EM3-0426-SM-5N9BZ	-1.48245199947184
GTEX-11EM3-0526-SM-5H12N	-0.454970001559101
GTEX-11EM3-0626-SM-5H12Z	-1.75373518376513
GTEX-11EM3-0726-SM-5GZZM	-0.961722959001948
GTEX-11EM3-0826-SM-5N9CC	-1.44369120188446
GTEX-11EM3-0926-SM-5A5KK	-1.41993126148963
GTEX-11EM3-1026-SM-5A5KL	-1.22834467938313
GTEX-11EM3-1126-SM-5A5KM	-1.21880855998546
GTEX-11EM3-1226-SM-5N9DD	-0.309231820279451
GTEX-11EM3-1326-SM-5N9C6	-0.478042337908869
GTEX-11EM3-1526-SM-5A5KN	-0.776515833999549
GTEX-11EM3-1626-SM-5N9CO	-0.92419432974447
GTEX-11EM3-1726-SM-5N9D1	-0.983844409583982
GTEX-11EM3-1826-SM-5A5KO	-0.550411428185336
GTEX-11EM3-1926-SM-5987U	-0.470442322735091
GTEX-11EM3-2126-SM-5H11M	-1.89862699787048
GTEX-11EM3-2226-SM-5H11Y	-1.58195695339066
GTEX-11EM3-2326-SM-5H12B	-0.916900692915674
GTEX-11EM3-2426-SM-59861	-0.569427098976554
GTEX-11EMC-0002-SM-5Q5DO	-1.53299576066913
GTEX-11EMC-0006-SM-5O9DN	-4.54346234831067
GTEX-11EMC-0008-SM-5Q5DR	-0.665802006924964
GTEX-11EMC-0011-R10a-SM-DNZZJ	-1.03224745541911
GTEX-11EMC-0011-R11b-SM-DNZZK	-1.47647016831332
GTEX-11EMC-0011-R2b-SM-DO114	-2.76607076264796
GTEX-11EMC-0011-R8b-SM-DO91Z	-2.64269366138935
GTEX-11EMC-0011-R9b-SM-DO921	-1.6209170531465
GTEX-11EMC-0126-SM-5EGKV	-0.62320764916139
GTEX-11EMC-0226-SM-5EGLP	-0.305718098792863
GTEX-11EMC-0526-SM-5EGJN	-1.21492059416936
GTEX-11EMC-0726-SM-5EGJO	-2.15417404959552
GTEX-11EMC-0826-SM-59862	-1.18260203492738
GTEX-11EMC-0926-SM-59863	-0.389726958171468
GTEX-11EMC-1426-SM-5N9E4	-0.374693552715424
GTEX-11EMC-1726-SM-5H11P	-0.465896007565509
GTEX-11EMC-1826-SM-5A5JT	-0.44445596833146
GTEX-11EMC-1926-SM-5A5JU	-0.463314580954871
GTEX-11EMC-2026-SM-5A5JV	-0.561911540853806
GTEX-11EMC-2226-SM-5A5JW	-1.20650295669987
GTEX-11EMC-2526-SM-5PNVU	-0.964600618896359
GTEX-11EMC-2626-SM-59864	-1.93914902118381
GTEX-11EMC-2826-SM-5PNY6	-0.390443229073063
GTEX-11EMC-2926-SM-5EQ4F	0.116221516927788
GTEX-11EMC-3026-SM-5EQ4R	-0.778990187873032
GTEX-11EMC-3126-SM-5EGJP	-0.28966159046955
GTEX-11EMC-3226-SM-5EGKW	-1.76751674844853
GTEX-11EMC-3326-SM-5P9JH	-0.947145778498887
GTEX-11EQ8-0006-SM-5P9HJ	-4.24107353205921
GTEX-11EQ8-0008-SM-5Q5DJ	-0.731926880262487
GTEX-11EQ8-0226-SM-5EQ5G	-0.462398133492549
GTEX-11EQ8-0426-SM-5N9DP	-0.806670337929958
GTEX-11EQ8-0526-SM-5N9BC	-2.08189516225575
GTEX-11EQ8-0826-SM-5N9FG	-0.433538863006072
GTEX-11EQ8-0926-SM-5H12V	-0.513327015103856
GTEX-11EQ8-1326-SM-5EGJQ	-1.80679635720847
GTEX-11EQ8-1426-SM-5EGJR	-0.944288890012472
