sample	OGN_Tn	OGN_Core1	OGN_Core2	OGN_sia
GTEX-P4QS-2126-SM-3NMCF	0.111387707869121	-0.742969127351511	-0.742969127351511	-0.742969127351511
GTEX-P4QS-2626-SM-2I3EV	-0.205258818090672	-0.205258818090672	-0.205258818090672	-0.40088153996223
GTEX-P4QT-0008-SM-48TDZ	0.44150019584962	0.44150019584962	0.44150019584962	-0.101582740559331
GTEX-P4QT-0126-SM-2I3FL	-0.854887896055842	-1.77750538406636	-1.77750538406636	-1.80576305194152
GTEX-P4QT-0226-SM-3LK68	-0.149006399743551	-0.149006399743551	-0.149006399743551	-0.149006399743551
GTEX-P4QT-0526-SM-2I3EX	-0.623144486144472	-0.623144486144472	-0.623144486144472	-0.726009632467555
GTEX-P4QT-0626-SM-3NMCP	0.339998457901263	-0.22630200310135	-0.22630200310135	-0.407926006520174
GTEX-P4QT-0726-SM-3NMCM	-0.440980879468978	-0.929098116929019	-0.993047424303962	-0.929098116929019
GTEX-P4QT-0926-SM-EZ6KQ	-0.452994092806981	-1.06195344307495	-1.06195344307495	-1.06195344307495
GTEX-P4QT-1326-SM-3NMD3	-0.430419257988262	-0.742969127351511	-0.742969127351511	-0.742969127351511
GTEX-P4QT-1426-SM-3NMCX	0.27884377664335	0.0359677788889808	0.0359677788889808	-1.41756472935643
GTEX-P4QT-1526-SM-3NMCT	-0.226710084810272	-1.16014522791402	-1.16014522791402	-1.16014522791402
GTEX-P4QT-1626-SM-DHXIR	-2.05808085330388	-2.05808085330388	-2.05808085330388	-2.05808085330388
GTEX-P4QT-1726-SM-2S1NQ	-0.294989476576524	-0.294989476576524	-0.294989476576524	-0.294989476576524
GTEX-P4QT-1826-SM-2S1NJ	-0.689279769142111	-0.689279769142111	-0.689279769142111	-0.689279769142111
GTEX-P4QT-2026-SM-3NMCJ	-0.26910014247715	-0.26910014247715	-0.26910014247715	-0.26910014247715
GTEX-P4QT-2426-SM-3NMCL	-0.373383174470523	-0.881636640206786	-1.16442264369995	-0.881636640206786
GTEX-P4QT-2626-SM-2I3FM	-0.321731936204684	-0.420073308682864	-0.420073308682864	-0.490870105037945
GTEX-P78B-0005-SM-2I5GM	-1.54426809106491	-1.54426809106491	-1.54426809106491	-2.60239231396692
GTEX-P78B-0008-SM-48TE1	-0.238593328902223	-0.238593328902223	-0.238593328902223	-0.56646484360835
GTEX-P78B-0226-SM-3NB1Z	-0.373383174470523	-0.373383174470523	-0.373383174470523	-0.428721467339577
GTEX-P78B-0426-SM-2I5F5	-1.43726035174457	-1.43726035174457	-1.43726035174457	-1.88079110689913
GTEX-P78B-0526-SM-2I5F7	-0.420339608391341	-0.420339608391341	-0.420339608391341	-0.420339608391341
GTEX-P78B-0626-SM-DIPE1	0.0168343393210404	-0.101057457424405	-0.388677108780845	-0.101057457424405
GTEX-P78B-0726-SM-2S1O2	-0.96366000516266	-0.96366000516266	-0.96366000516266	-0.96366000516266
GTEX-P78B-0826-SM-3NMCA	-0.551829523465664	-0.551829523465664	-0.551829523465664	-0.551829523465664
GTEX-P78B-0926-SM-2I5FA	-0.491760524498405	-0.491760524498405	-0.491760524498405	-0.603178775256533
GTEX-P78B-1026-SM-3NMC4	-0.280881852767907	-0.557955632513634	-0.557955632513634	-0.557955632513634
GTEX-P78B-1126-SM-3P615	-0.409612483325155	-1.0491848235144	-1.0491848235144	-1.0491848235144
GTEX-P78B-1226-SM-EZ6KP	0.0702751925900748	-0.680670764692454	-0.680670764692454	-0.687058373982162
GTEX-P78B-1326-SM-3P611	-1.07366833592439	-1.07366833592439	-1.07366833592439	-1.07366833592439
GTEX-P78B-1626-SM-5SI85	-1.65299807768355	-1.65299807768355	-1.65299807768355	-1.65299807768355
GTEX-P78B-1726-SM-3P5ZV	-0.0278211385982125	-0.306989208445281	-0.306989208445281	-0.306989208445281
GTEX-P78B-1826-SM-3P5YX	0.155623189164395	-0.788620129257796	-0.788620129257796	-1.12539776112331
GTEX-P78B-1926-SM-3P616	-0.0076042483901901	-0.341308169041969	-0.341308169041969	-0.341308169041969
GTEX-P78B-2226-SM-3P5ZZ	0.334647968655231	0.0478452121145735	-0.307441763599652	-0.463223595301847
GTEX-P78B-2326-SM-EZ6KO	-0.0551346827873719	-0.313532319478378	-0.394288237000148	-0.313532319478378
GTEX-P78B-2426-SM-EWRM2	-0.163134479359343	-0.447334804597814	-0.447334804597814	-0.447334804597814
GTEX-P78B-2526-SM-3P5ZY	-0.445109351726998	-0.583712358286838	-0.583712358286838	-0.583712358286838
GTEX-PLZ4-0006-SM-CYPR7	-1.28596639036969	-1.28596639036969	-1.28596639036969	-2.16411057980433
GTEX-PLZ4-0008-SM-48TE6	0.521793958711881	0.478096200704328	0.478096200704328	0.147761243788947
GTEX-PLZ4-0126-SM-5SI8O	-0.0799173967408501	-0.36631442438354	-0.36631442438354	-0.36631442438354
GTEX-PLZ4-0226-SM-CYPR1	0.121216246435062	0.0970554136966468	0.0970554136966468	-0.112516985416003
GTEX-PLZ4-0726-SM-2TC6Q	0.441353976835009	0.441353976835009	0.441353976835009	-0.143988680449472
GTEX-PLZ4-0926-SM-2S1OI	-1.97689471129193	-2.33661019983185	-2.33661019983185	-2.33661019983185
GTEX-PLZ4-1126-SM-EZ6KT	0.0751620034492737	0.0751620034492737	0.0430343976585066	0.0751620034492737
GTEX-PLZ4-1226-SM-2I5FE	-0.229326496912596	-0.229326496912596	-0.229326496912596	-0.345565158705605
GTEX-PLZ4-1326-SM-2S1O7	-0.486323193197466	-0.486323193197466	-0.616094129220487	-0.486323193197466
GTEX-PLZ4-1626-SM-3P618	0.0860198643139493	0.0860198643139493	-0.12079707725338	-0.539630470938621
GTEX-PLZ4-2226-SM-EZ6KS	-0.0310717313194997	-0.337544293095825	-0.337544293095825	-0.337544293095825
GTEX-PLZ4-2326-SM-EYYV5	-0.0369783355309747	-0.0369783355309747	-0.35603253798928	-0.0369783355309747
GTEX-PLZ4-2726-SM-3P61A	0.433714506494636	0.335278151215337	0.335278151215337	0.335278151215337
GTEX-PLZ4-2826-SM-3P617	-0.0738110348551939	-0.215378885159844	-0.932291598587985	-0.215378885159844
GTEX-PLZ5-0006-SM-DIPE2	-1.95791174288223	-1.95791174288223	-1.95791174288223	-1.95791174288223
GTEX-PLZ5-0326-SM-3P614	-0.381028482805316	-0.381028482805316	-0.438531461242285	-0.381028482805316
GTEX-PLZ5-0426-SM-3P612	-0.297132441500286	-0.297132441500286	-0.297132441500286	-0.297132441500286
GTEX-PLZ5-0626-SM-2I5F8	-1.5452272921248	-1.5452272921248	-1.5452272921248	-2.20164673708699
GTEX-PLZ5-0726-SM-2I5F9	-0.227193968811534	-0.227193968811534	-0.227193968811534	-0.227193968811534
GTEX-PLZ5-0826-SM-3P5ZW	-0.380632990365703	-0.380632990365703	-0.380632990365703	-0.380632990365703
